evaporationRates,maxIteration,alpha,beta,Q,epsilon,method,AverageFitness
0.3000,50,2.5000,1.0000,100.0000,3.0000,2,360.0500
0.3000,50,2.5000,1.0000,100.0000,3.0000,3,386.2500
0.3000,50,2.5000,1.0000,100.0000,5.0000,1,347.9000
0.3000,50,2.5000,1.0000,100.0000,5.0000,2,374.4500
0.3000,50,2.5000,1.0000,100.0000,5.0000,3,381.4000
0.3000,50,2.5000,1.0000,100.0000,10.0000,1,350.8500
0.3000,50,2.5000,1.0000,100.0000,10.0000,2,406.1500
0.3000,50,2.5000,1.0000,100.0000,10.0000,3,379.6500
0.3000,50,2.5000,2.0000,10.0000,3.0000,1,294.6000
0.3000,50,2.5000,2.0000,10.0000,3.0000,2,299.5000
0.3000,50,2.5000,2.0000,10.0000,3.0000,3,296.3000
0.3000,50,2.5000,2.0000,10.0000,5.0000,1,292.2000
0.3000,50,2.5000,2.0000,10.0000,5.0000,2,305.2000
0.3000,50,2.5000,2.0000,10.0000,5.0000,3,295.6000
0.3000,50,2.5000,2.0000,10.0000,10.0000,1,297.4500
0.3000,50,2.5000,2.0000,10.0000,10.0000,2,318.6000
